P300000479  1C 1 -1429.7
P300000479  1C 2 -1907.6
P300000479  1C 3 -1907.6
P300000479  1C 4 -1907.6
P300000479  1C 5 -1907.6
P300000479  1C 6 -1907.6
P300000479  1C 7 -1907.6
P300000479  1C 8 -1907.6
P300000479  1C 9 -1907.6
P300000479  1C 10 -1907.6
P300000479  1C 11 -1907.6
P300000479  1C 12 -1907.6
P300000479  1C 13 -1907.6
P300000479  1C 14 -1090.6
P300000479  3C 1 -1282.9
P300000479  3C 2 -1703.8
P300000479  3C 3 -1703.8
P300000479  3C 4 -1703.8
P300000479  3C 5 -1703.8
P300000479  3C 6 -1703.8
P300000479  3C 7 -1703.8
P300000479  3C 8 -1703.8
P300000479  3C 9 -1703.8
P300000479  3C 10 -1703.8
P300000479  3C 11 -1703.8
P300000479  3C 12 -1703.8
P300000479  3C 13 -1703.8
P300000479  3C 14 -1492.6
P300000479  3C 15 -400.9
P300000479  4C 1 -1254.7
P300000479  4C 2 -1664.7
P300000479  4C 3 -1664.7
P300000479  4C 4 -1664.7
P300000479  4C 5 -1664.7
P300000479  4C 6 -1664.7
P300000479  4C 7 -1664.7
P300000479  4C 8 -1664.7
P300000479  4C 9 -1664.7
P300000479  4C 10 -1664.7
P300000479  4C 11 -1664.7
P300000479  4C 12 -1664.7
P300000479  4C 13 -1664.7
P300000479  4C 14 -1478.2
P300000479  4C 15 -997.5
P300000479  5C 1 -765.2
P300000479  5C 2 -985.8
P300000479  5C 3 -985.8
P300000479  5C 4 -985.8
P300000479  5C 5 -985.8
P300000479  5C 6 -985.8
P300000479  5C 7 -985.8
P300000479  5C 8 -985.8
P300000479  5C 9 -985.8
P300000479  5C 10 -985.8
P300000479  5C 11 -985.8
P300000479  5C 12 -985.8
P300000479  5C 13 -985.8
P300000479  5C 14 -1228.4
P300000479  5C 15 -2182.5
P300000479  3P 1 -96.5
P300000479  3P 2 -58.0
P300000479  3P 3 -58.0
P300000479  3P 4 -58.0
P300000479  3P 5 -58.0
P300000479  3P 6 -58.0
P300000479  3P 7 -58.0
P300000479  3P 8 -58.0
P300000479  3P 9 -58.0
P300000479  3P 10 -58.0
P300000479  3P 11 -58.0
P300000479  3P 12 -58.0
P300000479  3P 13 -58.0
P300000479  3P 14 -887.0
P300000479  3P 15 -138.6
P300000479  3S 1 -73.6
P300000479  3S 2 -26.2
P300000479  3S 3 -26.2
P300000479  3S 4 -26.2
P300000479  3S 5 -26.2
P300000479  3S 6 -26.2
P300000479  3S 7 -26.2
P300000479  3S 8 -26.2
P300000479  3S 9 -26.2
P300000479  3S 10 -26.2
P300000479  3S 11 -26.2
P300000479  3S 12 -26.2
P300000479  3S 13 -26.2
P300000479  3S 14 -875.3
P300000479  3S 15 -138.9
P300000479  5S 1 -723.8
P300000479  5S 2 -928.3
P300000479  5S 3 -928.3
P300000479  5S 4 -928.3
P300000479  5S 5 -928.3
P300000479  5S 6 -928.3
P300000479  5S 7 -928.3
P300000479  5S 8 -928.3
P300000479  5S 9 -928.3
P300000479  5S 10 -928.3
P300000479  5S 11 -928.3
P300000479  5S 12 -928.3
P300000479  5S 13 -928.3
P300000479  5S 14 -1207.3
P300000479  5S 15 -1452.9
P300000479  SLP 1 -204.0
P300000479  SLP 2 -207.2
P300000479  SLP 3 -207.2
P300000479  SLP 4 -207.2
P300000479  SLP 5 -207.2
P300000479  SLP 6 -207.2
P300000479  SLP 7 -207.2
P300000479  SLP 8 -207.2
P300000479  SLP 9 -207.2
P300000479  SLP 10 -207.2
P300000479  SLP 11 -207.2
P300000479  SLP 12 -207.2
P300000479  SLP 13 -207.2
P300000479  SLP 14 -76.2
P300000479  SLP 16 -2.4
;
# weight of cargo c remained in tank t at initial state (before ship entering the first port)
param W0  := 
[P300000479, *] := 1C 25411.5 1P 16884.7 1S 16884.7 2C 23380.9 2P 13168.4 2S 13168.4 3C 23622.0 3P 1818.1 3S 1402.2 4C 23706.8 4P 16949.1 4S 16949.1 5C 16005.7 5P 14523.6 5S 14523.6 SLP 2769.0 SLS 2771.7 
;
;
# fixCargoPort
param W1  := ;
# total number of ports in the booking list
param NP := 16;
# the last loading port
param LP := 0;
# P_stable0
set P_stable0 :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16;
# cargo density @ low temperature (in t/m3)
param densityCargo_High  := P300000479 0.857777 ;
# cargo density @ high temperature (in t/m3)
param densityCargo_Low  := P300000479 0.857777 ;
param aveCargoDensity  := 0.8578 ;
# weight (in metric tone) of cargo to be moved at port p
param Wcp  := 
[P300000479, *] := 1 -13251.2 2 -17093.9 3 -17093.9 4 -17093.9 5 -17093.9 6 -17093.9 7 -17093.9 8 -17093.9 9 -17093.9 10 -17093.9 11 -17093.9 12 -17093.9 13 -17093.9 14 -16619.2 15 -8136.4 16 -805.9 
;
# first port for discharging cargo c
set P_stable2[P300000479] := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 ;
# opt port for discharging cargo 
set P_opt := ;
# loading ports
set loadPort  := ;
param loadingPortAmt  := ;
# discharge ports
set dischargePort  := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 ;
param dischargePortAmt  := 1 13251.3 2 17094.1 3 17094.1 4 17094.1 5 17094.1 6 17094.1 7 17094.1 8 17094.1 9 17094.1 10 17094.1 11 17094.1 12 17094.1 13 17094.1 14 16617.6 15 8134.6 16 806.7 ;
# intended cargo to load
param toLoad  := ;
# intended cargo to load
set cargoPriority := ;
# min cargo to must be loaded
param minCargoLoad  := ;
# Commingle cargos
set Cm_1 := ;
set Cm_2 := ;
# Possible commingled tanks
set Tm := ;
# cargo tank capacity (in m3)
param capacityCargoTank := SLS 4117.300 2C 28201.600 1P 20797.700 1S 20797.700 2P 20290.800 2S 20290.800 4P 20290.800 4S 20290.800 5P 17277.400 1C 30229.500 3C 28201.600 4C 28201.600 5C 33725.100 3P 20290.800 3S 20290.800 5S 17277.400 SLP 4117.300 ;
# onboard cargo tank (in mt)
param onboard := ;
# locked tank
set T_locked := ;
# locked cargo
set C_locked := ;
# 1 if tank t is locked for cargo c
param A_locked  := 
;
param W_locked   := 
;
param B_locked := 
[WB5P, *] := 16 6094.940 
[WB5S, *] := 16 6076.870 
[AWBP, *] := 
[AWBS, *] := 
[APT, *] := 
[WB1S, *] := 16 8611.480 
[WB2P, *] := 16 9004.490 
[WB2S, *] := 16 9002.350 
[WB3P, *] := 16 9006.720 
[WB3S, *] := 16 9004.690 
[WB4P, *] := 16 8341.720 
[WB4S, *] := 16 8870.640 
[WB1P, *] := 16 9017.410 
[LFPT, *] := 16 5524.500 
;
set fixBallastPort := 16 ;
param trim_upper := 1 6.000 2 6.000 3 6.000 4 6.000 5 6.000 6 6.000 7 6.000 8 6.000 9 6.000 10 6.000 11 6.000 12 6.000 13 6.000 14 6.000 15 6.000 16 6.000 ;
param trim_lower := 1 2.000 2 2.000 3 2.000 4 2.000 5 2.000 6 2.000 7 2.000 8 2.000 9 2.000 10 2.000 11 2.000 12 2.000 13 2.000 14 4.000 15 4.000 16 4.000 ;
set OtherTanks := FOS FO1P FO1S FO2P FO2S FOSV FOST BFOSV DO1S DO2S DOSV1 DOSV2 FWC DWP FWS DSWP DSWS ;
param weightOtherTank := 
[FO1P,*] = 1 2197.000 2 2197.000 3 2197.000 4 2197.000 5 2197.000 6 2197.000 7 2197.000 8 2197.000 9 2197.000 10 2197.000 11 2197.000 12 2197.000 13 2197.000 14 2197.000 15 2197.000 16 2197.000 
[FO1S,*] = 1 1900.000 2 1900.000 3 1900.000 4 1900.000 5 1900.000 6 1900.000 7 1900.000 8 1900.000 9 1900.000 10 1900.000 11 1900.000 12 1900.000 13 1900.000 14 1900.000 15 1900.000 16 1900.000 
[FO2P,*] = 1 1650.000 2 1650.000 3 1650.000 4 1650.000 5 1650.000 6 1650.000 7 1650.000 8 1650.000 9 1650.000 10 1650.000 11 1650.000 12 1650.000 13 1650.000 14 1650.000 15 1650.000 16 1650.000 
[FO2S,*] = 1 1115.000 2 1115.000 3 1115.000 4 1115.000 5 1115.000 6 1115.000 7 1115.000 8 1115.000 9 1115.000 10 1115.000 11 1115.000 12 1115.000 13 1115.000 14 1115.000 15 1115.000 16 1115.000 
[FOSV,*] = 1 59.000 2 59.000 3 59.000 4 59.000 5 59.000 6 59.000 7 59.000 8 59.000 9 59.000 10 59.000 11 59.000 12 59.000 13 59.000 14 59.000 15 59.000 16 59.000 
[FOST,*] = 1 57.000 2 57.000 3 57.000 4 57.000 5 57.000 6 57.000 7 57.000 8 57.000 9 57.000 10 57.000 11 57.000 12 57.000 13 57.000 14 57.000 15 57.000 16 57.000 
[BFOSV,*] = 1 59.500 2 59.500 3 59.500 4 59.500 5 59.500 6 59.500 7 59.500 8 59.500 9 59.500 10 59.500 11 59.500 12 59.500 13 59.500 14 59.500 15 59.500 16 59.500 
[DO1S,*] = 1 140.000 2 140.000 3 140.000 4 140.000 5 140.000 6 140.000 7 140.000 8 140.000 9 140.000 10 140.000 11 140.000 12 140.000 13 140.000 14 140.000 15 140.000 16 140.000 
[DO2S,*] = 1 221.000 2 221.000 3 221.000 4 221.000 5 221.000 6 221.000 7 221.000 8 221.000 9 221.000 10 221.000 11 221.000 12 221.000 13 221.000 14 221.000 15 221.000 16 221.000 
[DOSV1,*] = 1 25.800 2 25.800 3 25.800 4 25.800 5 25.800 6 25.800 7 25.800 8 25.800 9 25.800 10 25.800 11 25.800 12 25.800 13 25.800 14 25.800 15 25.800 16 25.800 
[DOSV2,*] = 1 21.900 2 21.900 3 21.900 4 21.900 5 21.900 6 21.900 7 21.900 8 21.900 9 21.900 10 21.900 11 21.900 12 21.900 13 21.900 14 21.900 15 21.900 16 21.900 
[DWP,*] = 1 335.000 2 335.000 3 335.000 4 335.000 5 335.000 6 335.000 7 335.000 8 335.000 9 335.000 10 335.000 11 335.000 12 335.000 13 335.000 14 335.000 15 335.000 16 335.000 
[FWS,*] = 1 335.000 2 335.000 3 335.000 4 335.000 5 335.000 6 335.000 7 335.000 8 335.000 9 335.000 10 335.000 11 335.000 12 335.000 13 335.000 14 335.000 15 335.000 16 335.000 
[DSWP,*] = 1 106.000 2 106.000 3 106.000 4 106.000 5 106.000 6 106.000 7 106.000 8 106.000 9 106.000 10 106.000 11 106.000 12 106.000 13 106.000 14 106.000 15 106.000 16 106.000 
[DSWS,*] = 1 106.000 2 106.000 3 106.000 4 106.000 5 106.000 6 106.000 7 106.000 8 106.000 9 106.000 10 106.000 11 106.000 12 106.000 13 106.000 14 106.000 15 106.000 16 106.000 
;
# ballast tanks 
set TB := WB5P WB5S AWBP AWBS APT WB1S WB2P WB2S WB3P WB3S WB4P WB4S WB1P LFPT ;
param minBallastAmt := WB5P 219.862 WB5S 226.525 AWBP 15.682 AWBS 14.247 APT 0.717 WB1S 438.905 WB2P 470.475 WB2S 472.012 WB3P 479.700 WB3S 475.497 WB4P 391.755 WB4S 385.605 WB1P 434.087 LFPT 15.682 ;
set minTB := ;
# ballast tanks with non-pw tcg details
set TB1 := APT LFPT ;
# ballast tanks with non-pw lcg details
set TB2 := WB2P WB2S WB3P WB3S ;
# density of seawater 
param densitySeaWater := 1 1.0250 2 1.0250 3 1.0250 4 1.0250 5 1.0250 6 1.0250 7 1.0250 8 1.0250 9 1.0250 10 1.0250 11 1.0250 12 1.0250 13 1.0250 14 1.0250 15 1.0250 16 1.0250 ;
# cargo tanks restrictions 
set cargoTankNonSym := ;
set C_max := ;
# initial ballast 
param initBallast := AWBS 582.300 LFPT 2957.780 ;
# inc initial ballast 
set incTB := WB5P WB5S AWBP APT WB1S WB2P WB2S WB3P WB3S WB4P WB4S WB1P LFPT ;
# dec initial ballast 
set decTB := AWBS ;
# loading ports 
set loadingPort := ;
# loading ports not last 
set loadingPortNotLast := ;
# departure arrival ports non-empty and empty ROB
set depArrPort1 := ;
set depArrPort2 := ;
set sameBallastPort := ;
# rotating ports 
set rotatingPort1 := (0,1) (1,2) (2,3) (3,4) (4,5) (5,6) (6,7) (7,8) (8,9) (9,10) (10,11) (11,12) (12,13) (13,14) (14,15) (15,16) ;
set rotatingPort2 := ;
# lastLoadingPortBallastBan 
set lastLoadingPortBallastBan := ;
# ballastBan 
set ballastBan := ;
# capacity of ballast tanks
param capacityBallastTank := WB5P 8561.900 WB5S 8560.400 AWBP 1024.900 AWBS 1024.900 APT 2574.400 WB1S 8904.400 WB2P 8873.600 WB2S 8871.500 WB3P 8875.800 WB3S 8873.800 WB4P 8743.700 WB4S 8741.700 WB1P 8906.500 LFPT 5444.200 ;
# light weight of ship
param lightWeight := 41008.0;
# LCG of ship
param LCGship := 9.21;
# deadweight constant
param deadweightConst := 593.0;
# LCG of deadweight constant
param LCGdw := 128.72;
# TCG of deadweight constant
param TCGdw := 0.0000;
# first discharge cargo
set firstDisCargo := ;
set C_equal := ;
set C_slop := ;
# random seed for Gurobi
param seed   := 380;
# LCGs of tanks
param LCGt := SLS 106.6196 2C -66.8000 1P -117.1400 1S -117.1400 2P -66.8000 2S -66.8000 4P 31.2000 4S 31.2000 5P 76.9798 1C -117.7100 3C -17.8000 4C 31.2000 5C 84.9901 3P -17.8000 3S -17.8000 5S 76.9798 SLP 106.6196 WB5P 83.3900 WB5S 83.3900 AWBP 138.1700 AWBS 138.1700 APT 156.6500 WB1S -118.0000 WB2P -66.8000 WB2S -66.8000 WB3P -17.8100 WB3S -17.8100 WB4P 30.9600 WB4S 30.9600 WB1P -118.0000 LFPT -153.4700 FOS 127.6500 FO1P 121.0600 FO1S 120.9700 FO2P 136.6200 FO2S 133.7900 FOSV 123.0100 FOST 126.5900 BFOSV 130.5900 DO1S 141.8100 DO2S 146.4800 DOSV1 140.9900 DOSV2 142.7900 FWC 151.3900 DWP 154.5700 FWS 154.5700 DSWP 150.7900 DSWS 150.7900 ;
# LCGs for cargo tanks
param LCGtport := 
[SLS,*] = 1 106.5089 2 106.4849 3 106.4604 4 106.4267 5 106.3890 6 106.3478 7 106.2967 8 106.2356 9 106.1708 10 106.0945 11 106.0204 12 105.9323 13 105.8301 14 105.7799 15 105.7799 16 0.0000 
[2C,*] = 1 -66.8000 2 -66.8000 3 -66.8000 4 -66.8000 5 -66.8000 6 -66.8000 7 -66.8000 8 -66.8000 9 -66.7969 10 -66.7900 11 -66.7900 12 -66.7867 13 -66.7664 14 -44.2500 15 -44.2500 16 -44.2500 
[1P,*] = 1 -117.1110 2 -117.0912 3 -117.0615 4 -117.0317 5 -116.9840 6 -116.9345 7 -116.8674 8 -116.7709 9 -116.6349 10 -116.4259 11 -116.1714 12 -115.8974 13 -115.4539 14 -92.7500 15 -92.7500 16 -92.7500 
[1S,*] = 1 -117.1110 2 -117.0912 3 -117.0615 4 -117.0317 5 -116.9840 6 -116.9345 7 -116.8674 8 -116.7709 9 -116.6349 10 -116.4259 11 -116.1714 12 -115.8974 13 -115.4539 14 -92.7500 15 -92.7500 16 -92.7500 
[2P,*] = 1 -66.8000 2 -66.8000 3 -66.8000 4 -66.8000 5 -66.8000 6 -66.8000 7 -66.8000 8 -66.7900 9 -66.7900 10 -66.7900 11 -66.7900 12 -66.7834 13 -66.7620 14 -43.7500 15 -43.7500 16 -43.7500 
[2S,*] = 1 -66.8000 2 -66.8000 3 -66.8000 4 -66.8000 5 -66.8000 6 -66.8000 7 -66.8000 8 -66.7900 9 -66.7900 10 -66.7900 11 -66.7900 12 -66.7834 13 -66.7620 14 -43.7500 15 -43.7500 16 -43.7500 
[4P,*] = 1 31.2000 2 31.2000 3 31.2000 4 31.2000 5 31.2000 6 31.2000 7 31.2000 8 31.2000 9 31.2000 10 31.2100 11 31.2100 12 31.2100 13 31.2138 14 31.2601 15 54.2500 16 54.2500 
[4S,*] = 1 31.2000 2 31.2000 3 31.2000 4 31.2000 5 31.2000 6 31.2000 7 31.2000 8 31.2000 9 31.2000 10 31.2100 11 31.2100 12 31.2100 13 31.2138 14 31.2601 15 54.2500 16 54.2500 
[5P,*] = 1 76.9435 2 76.8903 3 76.8254 4 76.7573 5 76.6659 6 76.5612 7 76.4332 8 76.2720 9 76.0646 10 75.8005 11 75.4997 12 75.1688 13 74.8404 14 74.4582 15 97.5500 16 97.5500 
[1C,*] = 1 -117.7100 2 -117.7100 3 -117.7100 4 -117.7100 5 -117.7000 6 -117.7000 7 -117.7000 8 -117.7000 9 -117.7000 10 -117.7000 11 -117.7000 12 -117.6900 13 -117.6509 14 -93.2500 15 -93.2500 16 -93.2500 
[3C,*] = 1 -17.8000 2 -17.8000 3 -17.8000 4 -17.8000 5 -17.8000 6 -17.8000 7 -17.8000 8 -17.8000 9 -17.8000 10 -17.7900 11 -17.7900 12 -17.7900 13 -17.7800 14 -5.7226 15 4.7500 16 4.7500 
[4C,*] = 1 31.2000 2 31.2000 3 31.2000 4 31.2000 5 31.2000 6 31.2000 7 31.2000 8 31.2000 9 31.2000 10 31.2100 11 31.2100 12 31.2100 13 31.2200 14 31.2535 15 53.7500 16 53.7500 
[5C,*] = 1 84.5784 2 84.5171 3 84.4481 4 84.3656 5 84.2736 6 84.1621 7 84.0208 8 83.8429 9 83.6262 10 83.3388 11 82.9808 12 82.7764 13 82.7600 14 82.7646 15 108.1500 16 108.1500 
[3P,*] = 1 -17.7801 2 -17.7800 3 -17.7800 4 -17.7800 5 -17.7800 6 -17.7800 7 -17.7800 8 -17.7800 9 -17.7786 10 -17.7759 11 -17.7732 12 -17.7705 13 -17.7678 14 -2.1107 15 5.2500 16 5.2500 
[3S,*] = 1 -17.7800 2 -17.7800 3 -17.7795 4 -17.7783 5 -17.7771 6 -17.7758 7 -17.7746 8 -17.7734 9 -17.7722 10 -17.7709 11 -17.7697 12 -17.7685 13 -17.7673 14 -2.1107 15 0.0000 16 0.0000 
[5S,*] = 1 76.9435 2 76.8903 3 76.8254 4 76.7573 5 76.6659 6 76.5612 7 76.4332 8 76.2720 9 76.0646 10 75.8005 11 75.4997 12 75.1688 13 74.8404 14 74.4582 15 97.5500 16 97.5500 
[SLP,*] = 1 106.4990 2 106.4649 3 106.4214 4 106.3631 5 106.2973 6 106.2131 7 106.1065 8 105.9998 9 105.8648 10 105.6749 11 105.3550 12 104.6940 13 94.1474 14 3.1735 15 3.1735 16 0.0000 
;
# TCGs of tanks
param TCGt := SLS 17.6900 2C 0.0000 1P -17.3400 1S 17.3400 2P -18.4200 2S 18.4200 4P -18.4200 4S 18.4200 5P -18.1800 1C 0.0000 3C 0.0000 4C 0.0000 5C 0.0000 3P -18.4200 3S 18.4200 5S 18.1800 SLP -17.6900 WB5P -20.3300 WB5S 20.3300 AWBP -18.7200 AWBS 18.7200 APT -0.0600 WB1S 19.9900 WB2P -21.7800 WB2S 21.7800 WB3P -21.7800 WB3S 21.7800 WB4P -21.6100 WB4S 21.6200 WB1P -19.9900 LFPT 0.0000 FOS 0.0000 FO1P -17.8200 FO1S 18.3400 FO2P -16.0300 FO2S 16.7000 FOSV 14.1400 FOST 14.1400 BFOSV 13.7100 DO1S 15.0800 DO2S 14.3000 DOSV1 15.3900 DOSV2 15.0400 FWC 0.0000 DWP -10.9000 FWS 10.9000 DSWP -11.8900 DSWS 11.8900 ;
# num of pw TCG curves for ballast tank
param pwTCG := 10;
# slopes of TCG curves for tanks
param mTankTCG := 
[1,*] := 3S 16.21429269 1S 15.31291118 2S 16.21429682 4S 16.21428846 5S 15.36596294 SLS 12.95000746 WB1S 2.74123352 WB1P -2.73908682 WB2S 3.04058492 WB2P -3.03999707 WB3S 3.03991184 WB4S -13.65361246 WB5S 2.89437939 AWBS 12.61467025 1P -15.28481049 2P -16.19654396 3P -16.19655244 4P -16.1965415 5P -15.36598134 SLP -12.94998921 WB3P -3.03997342 WB4P -3.03005274 WB5P -2.89001373 AWBP -14.28000039 
[2,*] := 3S 16.88967006 1S 16.07998286 2S 16.98491335 4S 17.02998723 5S 16.42999132 SLS 14.5200207 WB1S 11.51924485 WB1P -11.51842721 WB2S 14.74009392 WB2P -12.99003785 WB3S 12.96987894 WB4S 8.42995079 WB5S 13.17875869 AWBS 15.14000012 1P -16.09063888 2P -17.0700092 3P -17.06999689 4P -17.07000081 5P -15.18309541 SLP -14.51999588 WB3P -12.9699563 WB4P -12.84011672 WB5P -11.48654592 AWBP -15.64000079 
[3,*] := 3S 17.43007491 1S 16.77999147 2S 17.43000739 4S 17.82998037 5S 17.31003087 SLS 15.41000819 WB1S 16.68251842 WB1P -16.68273752 WB2S 21.06695978 WB2P -19.10008328 WB3S 19.05995579 WB4S 16.25994967 WB5S 11.05954519 AWBS 16.14000042 1P -16.76903405 2P -17.6348256 3P -17.77997649 4P -17.6152114 5P -16.42999808 SLP -15.41001264 WB3P -17.03836998 WB4P -19.99798594 WB5P -14.08003954 AWBP -16.6058906 
[4,*] := 3S 18.11002661 1S 17.54010571 2S 18.11000717 4S 18.337113 5S 17.860027 SLS 16.33000406 WB1S 12.33324951 WB1P -12.33392852 WB2S 17.59020537 WB2P -21.22004732 WB3S 21.37998644 WB4S 20.33201815 WB5S 11.64466529 AWBS 17.33551555 1P -17.54038723 2P -18.16001403 3P -18.46998933 4P -18.15999423 5P -17.30999965 SLP -16.32999468 WB3P -20.84600583 WB4P -15.89077078 WB5P -10.91205154 AWBP -17.33551693 
[5,*] := 3S 18.64263391 1S 17.50000069 2S 18.64263584 4S 18.64569262 5S 18.19001098 SLS 17.13000232 WB1S 12.75929658 WB1P -12.75881827 WB2S 12.44141296 WB2P -17.59005153 WB3S 19.82006959 WB4S 16.12007667 WB5S 20.7020752 AWBS 18.73999882 1P -17.50732812 2P -18.64432309 3P -18.64468465 4P -18.64432295 5P -17.85999558 SLP -17.13001476 WB3P -14.22022285 WB4P -22.63046203 WB5P -11.55972391 AWBP -18.91847862 
[6,*] := 3S 18.71950776 1S 17.59532959 2S 18.71999316 4S 18.6424285 5S 18.39001082 SLS 17.79999658 WB1S 13.0868213 WB1P -13.08163126 WB2S 6.82083106 WB2P -10.38999342 WB3S 14.42998336 WB4S 8.26996791 WB5S 21.90169747 AWBS 17.91826943 1P -17.60314166 2P -18.7099945 3P -18.84262348 4P -18.70999427 5P -18.18997022 SLP -17.80000502 WB3P -14.42996339 WB4P -8.26999447 WB5P -20.38546529 AWBP -17.95500606 
[7,*] := 3S -7.94583361 1S 17.46233796 2S 17.64435416 4S 18.38815981 5S 18.62164936 SLS 18.31999364 WB1S 23.16194967 WB1P -23.01997053 WB2S 14.99557599 WB2P 13.15075898 WB3S 2.94344981 WB4S 14.77457878 WB5S 24.03472468 AWBS 20.11999999 1P -17.45837107 2P -17.74419758 3P -18.34126013 4P -18.20742987 5P -18.38999301 SLP -18.32000906 WB3P -4.92716279 WB4P -9.49255335 WB5P -21.70602039 AWBP -20.11999996 
